name,year,imdb_rating,metascore,votes,genre,runtime
A Fantastic Fear of Everything,(2012),5.8,31,14894,"Comedy, Horror",100
A Late Quartet,(2012),7.1,67,14822,"Drama, Music",105
Barbara,(I) (2012),7.2,86,14810,Drama,105
Fun Size,(2012),5.4,37,14751,"Adventure, Comedy",86
Two Days in New York,(2012),6.0,61,14712,"Comedy, Drama, Romance",96
The Sapphires,(2012),7.0,67,14655,"Biography, Comedy, Drama",103
Love Is All You Need,(2012),6.5,60,14411,"Comedy, Drama, Romance",116
Broken,(IV) (2012),7.2,53,14366,"Drama, Romance",91
The Reluctant Fundamentalist,(2012),6.8,54,14292,"Drama, Thriller",130
Emperor,(2012),6.5,48,14282,"Drama, History, War",105
It's Such a Beautiful Day,(2012),8.2,90,14181,"Animation, Comedy, Drama",62
Antiviral,(2012),5.7,55,13994,"Horror, Mystery, Sci-Fi",108
Marley,(2012),7.9,82,13918,"Documentary, Biography, Music",144
Part of Me,(2012),5.9,57,13726,"Documentary, Music",93
Side by Side,(2012),7.6,82,13529,Documentary,99
Stories We Tell,(2012),7.5,91,13516,Documentary,108
The Queen of Versailles,(2012),7.1,80,13386,Documentary,100
Great Expectations,(2012),6.3,60,13284,"Drama, Romance",128
Shadow Dancer,(2012),6.2,71,12694,"Drama, Thriller",101
Miss Lovely,(2012),7.7,52,12655,"Crime, Drama, Romance",113
Beyond the Hills,(2012),7.5,79,12634,Drama,152
Populaire,(2012),6.8,58,12365,"Comedy, Romance, Sport",111
Like Someone in Love,(2012),7.0,76,12280,Drama,109
Hyde Park on Hudson,(2012),5.9,55,12025,"Biography, Comedy, Drama",94
Sleepwalk with Me,(2012),6.7,71,11973,"Comedy, Drama, Romance",81
Aftershock,(2012),4.8,39,11965,"Action, Adventure, Horror",89
Brake,(I) (2012),6.1,38,11830,Thriller,92
Lay the Favorite,(2012),4.8,38,11777,"Comedy, Drama, Romance",94
Hannah Arendt,(2012),7.1,69,11539,"Biography, Drama",113
Ginger & Rosa,(2012),6.2,69,11408,Drama,90
It's a Disaster,(2012),6.4,57,11299,"Comedy, Drama",88
Blancanieves,(2012),7.5,82,11168,"Drama, Fantasy",104
Madea's Witness Protection,(2012),4.9,42,11010,"Comedy, Crime, Drama",114
2016: Obama's America,(2012),4.8,26,10909,Documentary,87
The Thieves,(2012),6.8,75,10753,"Action, Comedy, Crime",135
West of Memphis,(2012),7.9,80,10587,"Documentary, Crime",147
About Cherry,(2012),4.8,33,10569,Drama,98
Vamps,(2012),5.2,57,10392,"Comedy, Horror, Romance",92
Drug War,(2012),7.0,86,10384,"Action, Crime, Drama",107
We Are Legion: The Story of the Hacktivists,(2012),7.2,66,10327,Documentary,93
Tim and Eric's Billion Dollar Movie,(2012),5.3,40,10244,Comedy,93
The Giant Mechanical Man,(2012),6.7,43,10231,"Comedy, Drama, Romance",94
Wrong,(I) (2012),6.2,58,10078,"Comedy, Mystery",94
The Samaritan,(I) (2012),5.6,37,10019,"Action, Crime, Drama",90
Best Man Down,(2012),6.4,36,9753,"Comedy, Drama",89
Black Rock,(2012),4.8,46,9365,"Horror, Thriller",83
Paradise: Love,(2012),7.0,65,9309,Drama,120
Smiley,(2012),3.4,25,9263,"Horror, Mystery, Thriller",95
Branded,(2012),4.6,20,9192,"Drama, Fantasy, Sci-Fi",106
Dark Tide,(2012),4.3,23,9072,"Adventure, Drama, Thriller",114
Eden,(I) (2012),6.6,63,8964,"Crime, Drama, Thriller",98
Lola Versus,(2012),5.5,49,8813,Comedy,87
Silent Night,(I) (2012),5.2,53,8768,"Comedy, Horror, Mystery",94
"Farewell, My Queen",(2012),6.2,67,8760,"Drama, History, Romance",100
The Babymakers,(2012),5.0,30,8754,Comedy,95
Chasing Ice,(2012),7.7,75,8715,"Documentary, Biography",75
Out in the Dark,(2012),7.5,69,8674,"Crime, Drama, Romance",96
Joyful Noise,(2012),5.7,44,8600,"Comedy, Drama, Music",118
The Players,(2012),5.3,43,8385,Comedy,109
Easy Money II: Hard to Kill,(2012),6.2,57,8315,"Action, Crime, Drama",99
Neighboring Sounds,(2012),7.1,77,8277,"Drama, Thriller",131
Starlet,(I) (2012),6.9,74,8164,Drama,103
Cirque du Soleil: Worlds Away,(2012),6.7,51,8108,Fantasy,91
Good Deeds,(2012),5.6,43,8030,"Comedy, Drama, Romance",110
Unfinished Song,(2012),6.9,57,7823,"Comedy, Drama, Music",90
At Any Price,(2012),5.7,61,7693,"Drama, Sport, Thriller",105
The Central Park Five,(2012),7.7,79,7672,"Documentary, Crime, History",119
Why Stop Now?,(2012),5.5,36,7496,"Comedy, Drama",85
Arthur Newman,(2012),5.6,42,7478,"Comedy, Drama",101
Soldiers of Fortune,(2012),4.3,19,7393,"Action, Thriller",94
War Witch,(2012),7.0,84,7368,"Drama, War",90
Atlas Shrugged II: The Strike,(2012),5.3,26,7363,"Drama, Mystery, Sci-Fi",111
Paulette,(2012),6.6,40,7349,"Comedy, Crime",87
Storage 24,(2012),4.5,52,7248,"Horror, Sci-Fi",87
Citadel,(I) (2012),5.4,60,7118,"Drama, Horror, Thriller",84
Tabu,(I) (2012),7.3,78,7105,"Drama, Romance",118
The Pervert's Guide to Ideology,(2012),7.6,71,7079,Documentary,136
Save the Date,(I) (2012),5.7,54,7031,"Comedy, Romance",97
The Wolf of Wall Street,(2013),8.2,75,1414240,"Biography, Comedy, Crime",180
Iron Man 3,(2013),7.1,62,853479,"Action, Adventure, Sci-Fi",130
Gravity,(2013),7.7,96,829027,"Drama, Sci-Fi, Thriller",91
Man of Steel,(2013),7.1,55,774738,"Action, Adventure, Sci-Fi",143
Prisoners,(2013),8.1,70,720386,"Crime, Drama, Mystery",153
12 Years a Slave,(2013),8.1,96,703670,"Biography, Drama, History",134
Thor: The Dark World,(2013),6.8,54,686468,"Action, Adventure, Fantasy",112
World War Z,(2013),7.0,63,671102,"Action, Adventure, Horror",116
The Hunger Games: Catching Fire,(2013),7.5,76,668770,"Action, Adventure, Sci-Fi",146
The Hobbit: The Desolation of Smaug,(2013),7.8,66,667668,"Adventure, Fantasy",161
